condition,n,mean_pgr,pgr_ci_low,pgr_ci_high,mean_student_acc,mean_train_label_gold_accuracy
base-fewshot,1,-8.59223300970869,-8.59223300970869,-8.59223300970869,0.5091743119266054,nan
gold-ceiling,5,1.0000000000000022,0.970873786407769,1.0291262135922343,0.9623853211009173,1.0
real-weak,5,0.8203883495145657,0.7233009708737896,0.9029126213592253,0.9538990825688074,0.9235
shuffled-weak,5,-8.203883495145584,-8.558252427184417,-7.762135922330051,0.5275229357798163,0.4991
random-label,5,-7.5582524271844225,-8.834951456310629,-5.815533980582488,0.5580275229357798,0.4979
constant-majority,5,-8.59223300970869,-8.59223300970869,-8.59223300970869,0.5091743119266054,0.563
